Date,Product_Category,Customer_Type,Sales_Amount,Units_Sold
2024-05-14,Beauty,Returning,377,13
2024-03-12,Clothing,New,1987,2
2024-01-12,Furniture,New,4679,3
2024-06-10,Beauty,New,1365,7
2024-02-02,Beauty,New,4926,18
2024-02-17,Beauty,Returning,1140,3
2024-05-30,Beauty,Loyal,1017,10
2024-03-02,Beauty,Returning,985,7
2024-02-06,Groceries,New,2852,9
2024-04-08,Furniture,Returning,121,17
2024-04-13,Beauty,Loyal,4669,11
2024-02-04,Furniture,Loyal,3291,7
2024-04-10,Groceries,Returning,2453,14
2024-05-10,Groceries,Returning,4899,19
2024-01-01,Furniture,Returning,786,4
2024-01-05,Electronics,New,384,6
2024-05-21,Clothing,Returning,4911,10
2024-04-12,Electronics,Returning,3847,7
2024-01-27,Electronics,Returning,862,13
2024-05-16,Electronics,Loyal,2528,14
2024-01-15,Beauty,Loyal,2607,4
2024-03-30,Groceries,New,128,8
2024-02-11,Electronics,New,1006,5
2024-05-03,Groceries,Loyal,3204,1
2024-03-03,Furniture,Loyal,4099,4
2024-04-05,Clothing,Loyal,3094,3
2024-02-21,Furniture,Returning,2606,9
2024-04-05,Furniture,Returning,4765,8
2024-05-11,Beauty,Loyal,3709,1
2024-05-30,Clothing,Returning,3653,6
2024-05-22,Furniture,Returning,1553,9
2024-01-29,Furniture,New,4933,7
2024-02-05,Clothing,Loyal,3456,4
2024-01-13,Clothing,Loyal,615,13
2024-06-08,Furniture,Returning,138,17
2024-03-11,Clothing,Loyal,3442,2
2024-03-26,Furniture,New,986,5
2024-01-28,Furniture,New,2944,12
2024-03-06,Beauty,New,2304,8
2024-02-14,Electronics,Loyal,1198,6
2024-03-02,Furniture,Loyal,1923,8
2024-05-13,Groceries,Loyal,3301,18
2024-01-28,Electronics,Loyal,3255,3
2024-01-28,Electronics,Loyal,3193,12
2024-04-17,Electronics,New,3630,3
2024-02-13,Beauty,Returning,3878,6
2024-03-24,Furniture,New,2996,2
2024-01-30,Beauty,Loyal,3553,12
2024-03-15,Furniture,New,3611,2
2024-05-07,Beauty,Loyal,1088,6
2024-04-01,Beauty,Loyal,4216,17
2024-05-08,Groceries,New,4126,3
2024-04-30,Beauty,Loyal,4279,2
2024-01-27,Clothing,Returning,1782,8
2024-04-30,Groceries,Loyal,4765,12
2024-04-25,Beauty,Returning,4063,4
2024-01-03,Electronics,Returning,1033,5
2024-04-12,Clothing,Loyal,3698,13
2024-06-03,Clothing,New,3333,15
2024-05-16,Clothing,Returning,2080,16
2024-03-02,Groceries,New,1955,10
2024-06-13,Beauty,Returning,3156,16
2024-02-20,Beauty,Loyal,892,12
2024-05-31,Electronics,Loyal,891,17
2024-02-28,Electronics,Returning,1909,16
2024-04-27,Clothing,Loyal,2355,12
2024-06-08,Electronics,Returning,3710,8
2024-04-05,Groceries,Loyal,1707,3
2024-04-22,Beauty,New,1084,16
2024-03-02,Clothing,Loyal,3776,13
2024-02-21,Electronics,New,3480,19
2024-01-12,Groceries,Loyal,619,8
2024-02-08,Groceries,New,690,5
2024-05-09,Electronics,Loyal,1150,8
2024-05-10,Beauty,New,3733,12
2024-04-22,Electronics,Returning,4544,1
2024-04-10,Clothing,Returning,1059,6
2024-04-22,Electronics,New,792,18
2024-03-21,Groceries,Loyal,3999,8
2024-04-22,Electronics,New,4573,7
2024-01-02,Beauty,Loyal,3046,1
2024-05-09,Furniture,Returning,626,16
2024-02-23,Electronics,Loyal,3324,12
2024-03-27,Beauty,Returning,2353,6
2024-05-08,Beauty,Loyal,3444,2
2024-05-26,Groceries,Loyal,4065,14
2024-05-05,Beauty,Loyal,1975,4
2024-05-09,Beauty,New,1863,1
2024-02-22,Beauty,New,620,18
2024-06-08,Beauty,Returning,1116,13
2024-06-08,Clothing,Returning,216,2
2024-03-08,Clothing,New,2533,9
2024-05-02,Groceries,Returning,683,2
2024-05-24,Electronics,New,494,9
2024-02-07,Beauty,Loyal,3888,1
2024-01-24,Electronics,Returning,2868,11
2024-03-09,Electronics,Returning,4267,3
2024-04-25,Groceries,New,3960,4
2024-04-07,Beauty,Returning,373,18
2024-05-18,Beauty,Returning,2113,6
2024-05-23,Furniture,Loyal,4533,3
2024-04-06,Electronics,Returning,1489,11
2024-05-03,Electronics,Loyal,3666,15
2024-03-10,Clothing,New,4802,5
2024-04-02,Furniture,Returning,265,10
2024-01-03,Clothing,Loyal,1667,12
2024-05-27,Clothing,New,828,15
2024-06-12,Clothing,Returning,2143,17
2024-05-26,Groceries,New,4297,10
2024-03-30,Groceries,Returning,3596,6
2024-05-26,Clothing,New,878,18
2024-05-27,Furniture,New,313,13
2024-04-05,Electronics,Loyal,3862,3
2024-02-21,Furniture,New,1676,10
2024-06-09,Beauty,Returning,2548,14
2024-05-07,Groceries,Returning,3036,6
2024-02-08,Electronics,Loyal,3217,3
2024-03-22,Electronics,Returning,691,16
2024-04-13,Beauty,Returning,2820,7
2024-05-08,Beauty,Returning,813,14
2024-01-11,Clothing,New,1035,9
2024-05-30,Groceries,New,4437,15
2024-06-07,Groceries,Returning,101,3
2024-02-11,Furniture,Loyal,2948,2
2024-04-08,Clothing,New,4144,2
2024-01-07,Clothing,Loyal,2049,3
2024-05-23,Clothing,Returning,1017,18
2024-03-30,Clothing,Returning,3274,14
2024-04-21,Groceries,New,2341,18
2024-02-29,Groceries,Returning,189,10
2024-04-22,Clothing,New,1809,2
2024-01-02,Furniture,Returning,2269,1
2024-05-08,Electronics,Returning,4338,4
2024-02-17,Electronics,New,3141,14
2024-05-19,Furniture,New,205,1
2024-02-06,Clothing,New,986,14
2024-06-08,Groceries,Returning,527,16
2024-01-09,Electronics,Returning,1995,14
2024-04-08,Beauty,Loyal,416,3
2024-05-26,Beauty,New,734,3
2024-02-17,Furniture,Returning,2025,9
2024-05-10,Clothing,Returning,2156,6
2024-05-27,Electronics,New,3244,13
2024-05-31,Clothing,Loyal,2370,2
2024-02-23,Electronics,New,1539,8
2024-04-29,Furniture,Loyal,652,2
2024-06-09,Furniture,Returning,815,4
2024-05-31,Beauty,Loyal,4011,15
2024-04-25,Clothing,Returning,1813,4
2024-03-15,Beauty,New,3489,13
2024-04-22,Clothing,New,1207,12
2024-06-12,Beauty,New,4306,13
2024-06-14,Groceries,Loyal,350,14
2024-04-13,Groceries,Returning,2530,18
2024-03-24,Groceries,New,2154,6
2024-04-21,Groceries,New,558,11
2024-04-08,Electronics,Returning,307,2
2024-06-01,Groceries,New,999,19
2024-04-02,Furniture,Returning,3561,19
2024-05-25,Furniture,Returning,3485,5
2024-05-07,Electronics,Returning,121,19
2024-04-19,Groceries,Returning,509,2
2024-03-22,Groceries,Returning,994,10
2024-02-23,Groceries,Loyal,614,2
2024-06-11,Beauty,New,4209,11
2024-06-09,Clothing,Loyal,2234,18
2024-03-08,Beauty,New,3695,15
2024-02-02,Clothing,Loyal,3056,9
2024-05-21,Groceries,Returning,1660,19
2024-01-21,Groceries,New,1366,9
2024-02-17,Beauty,New,2269,3
2024-05-27,Beauty,Loyal,3738,9
2024-05-07,Clothing,Loyal,849,14
2024-05-15,Furniture,New,3527,19
2024-05-14,Clothing,Loyal,4880,7
2024-05-24,Beauty,Loyal,2027,16
2024-05-07,Beauty,Loyal,3904,16
2024-02-02,Electronics,Returning,3802,1
2024-04-24,Beauty,Returning,2456,4
2024-04-28,Electronics,Loyal,4890,4
2024-01-22,Furniture,Loyal,2435,7
2024-06-06,Clothing,Returning,406,8
2024-02-07,Clothing,Returning,3765,17
2024-04-18,Electronics,New,2089,5
2024-02-20,Clothing,New,761,7
2024-01-08,Beauty,Returning,4744,4
2024-01-27,Groceries,Loyal,411,6
2024-01-27,Electronics,Loyal,3020,7
2024-01-21,Clothing,Loyal,1182,18
2024-01-30,Electronics,Loyal,3071,5
2024-04-06,Electronics,New,854,3
2024-01-28,Groceries,Returning,4230,7
2024-04-20,Beauty,Loyal,4640,14
2024-03-01,Electronics,New,452,7
2024-02-17,Clothing,Loyal,1002,5
2024-05-26,Furniture,Returning,3988,5
2024-01-04,Electronics,New,258,2
2024-02-04,Electronics,Returning,2077,6
2024-02-18,Groceries,Returning,1056,15
2024-01-17,Beauty,New,2171,10
2024-06-06,Furniture,New,503,7
2024-02-15,Clothing,New,4711,5
2024-04-26,Furniture,New,2879,1
2024-01-06,Clothing,New,1487,13
2024-04-08,Beauty,New,3553,18
2024-05-03,Clothing,New,1055,13
2024-02-06,Groceries,Loyal,1812,18
2024-01-24,Groceries,Returning,4803,5
2024-04-02,Groceries,New,1373,13
2024-02-15,Groceries,Loyal,3911,4
2024-04-04,Furniture,Loyal,2725,17
2024-04-08,Beauty,Loyal,2482,3
2024-04-25,Clothing,Returning,1541,17
2024-06-08,Clothing,New,3079,11
2024-06-09,Groceries,Loyal,1897,4
2024-03-07,Groceries,Returning,4490,2
2024-05-07,Electronics,Returning,4109,16
2024-01-18,Beauty,Returning,4950,18
2024-01-25,Furniture,Loyal,1494,8
2024-02-23,Clothing,New,4381,3
2024-02-27,Electronics,Loyal,1369,9
2024-03-07,Electronics,Loyal,4832,6
2024-04-13,Clothing,New,3814,10
2024-01-24,Furniture,New,629,10
2024-04-23,Electronics,New,3723,13
2024-02-01,Electronics,Returning,3058,17
2024-03-26,Beauty,New,3014,9
2024-05-30,Furniture,Loyal,4989,17
2024-05-06,Electronics,New,3691,9
2024-06-03,Furniture,Loyal,2247,9
2024-05-09,Clothing,Returning,4673,1
2024-01-17,Groceries,Loyal,3469,2
2024-04-13,Electronics,Loyal,1039,16
2024-06-09,Beauty,New,625,1
2024-05-16,Clothing,New,101,10
2024-02-12,Furniture,Loyal,474,18
2024-02-08,Clothing,New,2440,8
2024-01-26,Electronics,Returning,4105,11
2024-04-08,Furniture,Returning,3152,2
2024-02-19,Groceries,New,4748,8
2024-06-01,Clothing,Returning,2465,8
2024-05-31,Electronics,New,1625,17
2024-01-13,Beauty,Loyal,4576,15
2024-02-29,Furniture,Loyal,1746,17
2024-05-14,Clothing,Returning,113,13
2024-02-26,Clothing,New,4699,19
2024-02-05,Groceries,New,2378,5
2024-01-20,Groceries,Returning,3255,12
2024-03-05,Beauty,Loyal,229,1
2024-01-08,Beauty,Returning,3914,5
2024-05-23,Electronics,Loyal,3316,8
2024-05-21,Electronics,New,3038,13
2024-04-24,Beauty,Loyal,4028,8
2024-05-22,Beauty,Returning,2140,11
2024-04-01,Furniture,New,127,1
2024-04-07,Groceries,Returning,2213,13
2024-03-06,Electronics,Returning,1352,19
2024-02-01,Groceries,Loyal,4456,3
2024-03-26,Groceries,Returning,2146,17
2024-02-20,Beauty,Loyal,4655,5
2024-06-01,Furniture,New,4123,8
2024-03-03,Clothing,Loyal,4496,14
2024-05-04,Furniture,New,3474,4
2024-05-29,Furniture,Loyal,3566,11
2024-02-27,Groceries,Returning,3181,15
2024-02-27,Furniture,Loyal,3878,19
2024-03-26,Electronics,Loyal,729,7
2024-02-18,Groceries,New,369,19
2024-03-10,Electronics,Returning,2739,19
2024-01-15,Clothing,Loyal,2093,11
2024-02-23,Groceries,Returning,2991,5
2024-04-10,Clothing,Loyal,3532,5
2024-01-08,Groceries,Loyal,1380,8
2024-02-22,Beauty,Returning,2460,10
2024-02-29,Furniture,Loyal,675,6
2024-04-17,Beauty,Returning,1407,15
2024-01-05,Clothing,Loyal,3292,16
2024-04-12,Furniture,New,3278,17
2024-01-06,Groceries,Returning,2834,8
2024-04-18,Furniture,Loyal,2312,8
2024-04-25,Electronics,Loyal,2452,9
2024-04-03,Furniture,New,3668,2
2024-02-16,Electronics,Returning,1755,15
2024-04-08,Furniture,Loyal,1679,18
2024-02-24,Electronics,New,2303,3
2024-02-21,Clothing,Loyal,1490,17
2024-05-23,Beauty,Returning,1842,4
2024-01-13,Groceries,Loyal,2025,4
2024-04-23,Furniture,Loyal,719,14
2024-05-03,Beauty,Loyal,1374,9
2024-04-15,Groceries,Loyal,1056,9
2024-06-06,Groceries,New,2039,18
2024-05-26,Electronics,New,4053,10
2024-05-24,Clothing,Returning,2481,4
2024-04-29,Clothing,New,1068,12
2024-03-03,Beauty,New,1416,8
2024-01-19,Clothing,Returning,1143,2
2024-04-01,Furniture,New,381,13
2024-02-27,Clothing,New,2944,16
2024-03-30,Beauty,Returning,1158,2
2024-04-26,Clothing,Returning,4393,11
2024-03-02,Furniture,Returning,2632,10
2024-01-23,Electronics,Loyal,3928,15
2024-05-06,Beauty,Loyal,1108,17
2024-05-16,Electronics,Returning,1329,8
2024-05-19,Electronics,Returning,1135,18
2024-05-08,Electronics,Returning,4685,9
2024-02-27,Groceries,Loyal,375,8
2024-05-01,Groceries,Loyal,2840,14
2024-01-01,Electronics,New,2389,18
2024-02-03,Beauty,New,1339,12
2024-04-05,Furniture,Returning,225,19
2024-05-05,Furniture,Loyal,4165,14
2024-04-27,Clothing,Loyal,4412,17
2024-02-17,Beauty,Loyal,3968,3
2024-03-29,Groceries,Returning,1308,7
2024-04-26,Electronics,New,3349,17
2024-05-08,Clothing,Returning,1018,12
2024-01-16,Furniture,New,4023,9
2024-03-09,Groceries,New,4503,15
2024-01-22,Groceries,Returning,2069,18
2024-04-02,Electronics,New,2893,13
2024-03-16,Furniture,New,991,8
2024-06-02,Beauty,Loyal,4570,14
2024-05-23,Groceries,New,2133,8
2024-03-26,Electronics,Returning,1464,14
2024-01-29,Beauty,Returning,228,7
2024-03-09,Furniture,New,1114,12
2024-02-16,Groceries,Loyal,1899,11
2024-04-03,Beauty,Loyal,4712,11
2024-05-23,Beauty,New,1618,13
2024-03-25,Beauty,New,4281,18
2024-02-08,Groceries,Returning,1298,2
2024-04-09,Groceries,New,3973,15
2024-02-02,Clothing,Loyal,2574,18
2024-04-10,Furniture,New,3585,15
2024-01-23,Electronics,Returning,4149,19
2024-01-10,Beauty,Returning,3819,12
2024-03-09,Clothing,Returning,402,13
2024-04-09,Electronics,Returning,4052,11
2024-02-03,Clothing,Returning,4783,5
2024-05-17,Groceries,New,1086,1
2024-05-26,Beauty,New,1963,3
2024-04-05,Electronics,New,4540,19
2024-01-01,Electronics,New,3172,7
2024-03-09,Electronics,Returning,3224,12
2024-01-04,Electronics,Loyal,1427,15
2024-01-16,Electronics,New,2508,5
2024-01-24,Clothing,Loyal,3773,15
2024-03-20,Beauty,New,3391,8
2024-01-02,Groceries,New,4133,10
2024-05-07,Groceries,Loyal,803,16
2024-06-08,Groceries,Returning,674,8
2024-03-24,Groceries,New,3332,1
2024-05-31,Clothing,New,4883,12
2024-05-19,Furniture,New,2732,5
2024-06-11,Beauty,Loyal,3928,3
2024-05-03,Electronics,Returning,3330,1
2024-02-02,Furniture,Loyal,588,4
2024-06-09,Groceries,Loyal,1447,8
2024-04-10,Furniture,Returning,3781,3
2024-01-12,Beauty,Loyal,3273,10
2024-03-07,Electronics,Returning,4689,2
2024-03-05,Electronics,New,1767,11
2024-06-09,Beauty,Returning,1737,10
2024-03-14,Beauty,New,4214,14
2024-02-12,Groceries,Loyal,3653,7
2024-02-13,Electronics,Loyal,1100,2
2024-01-29,Furniture,New,950,9
2024-05-20,Clothing,Loyal,1488,16
2024-01-12,Clothing,Returning,3812,13
2024-04-04,Beauty,New,1467,9
2024-02-15,Groceries,Loyal,921,4
2024-05-09,Clothing,New,554,10
2024-02-04,Electronics,Returning,1724,12
2024-03-21,Beauty,Returning,2872,17
2024-03-30,Furniture,Loyal,3826,14
2024-01-08,Beauty,Returning,3247,14
2024-04-02,Furniture,New,4189,2
2024-06-02,Beauty,Returning,4906,11
2024-03-30,Beauty,New,2290,16
2024-06-10,Beauty,New,1016,19
2024-04-24,Furniture,Returning,4086,6
2024-04-14,Furniture,Loyal,2975,19
2024-05-14,Beauty,Returning,1540,5
2024-02-27,Clothing,New,4500,4
2024-04-23,Groceries,New,835,15
2024-03-15,Groceries,Returning,3668,4
2024-06-05,Groceries,Loyal,3438,10
2024-04-29,Furniture,Loyal,3115,3
2024-06-12,Furniture,New,2989,5
2024-01-21,Clothing,New,1061,6
2024-06-12,Groceries,Loyal,3089,8
2024-05-17,Groceries,Returning,3948,7
2024-04-10,Beauty,New,1126,10
2024-05-31,Furniture,New,3965,6
2024-04-08,Groceries,Loyal,2963,14
2024-02-05,Clothing,Returning,2601,4
2024-04-05,Clothing,Loyal,2047,13
